LEMMA,FREQUENCY,f/M,LOG F/M,,
δουλεία,10,7.38,1.87,Loading...,
δραστήριος,10,7.38,1.87,Loading...,
δυναμό,10,7.38,1.87,Loading...,
δυναμόμετρο,10,7.38,1.87,Loading...,
δυσαρέσκεια,10,7.38,1.87,Loading...,
δυσπιστία,10,7.38,1.87,Loading...,
εγκέλαδος,10,7.38,1.87,Loading...,
έδεσσα,10,7.38,1.87,Эдесса,
εθνικότητα,10,7.38,1.87,Loading...,
εκδίκηση,10,7.38,1.87,Loading...,
εκδοτικός,10,7.38,1.87,Loading...,
εκτύπωση,10,7.38,1.87,Loading...,
ελαιοτριβείο,10,7.38,1.87,Loading...,
ελάσσων,10,7.38,1.87,Loading...,
εναλλαγή,10,7.38,1.87,Loading...,
εναλλακτικός,10,7.38,1.87,Loading...,
εξοικονομώ,10,7.38,1.87,Loading...,
εξπρεσιονισμός,10,7.38,1.87,Loading...,
εορτάζω,10,7.38,1.87,Loading...,
εορτασμός,10,7.38,1.87,праздник,
επαινώ,10,7.38,1.87,Loading...,
έπαλξη,10,7.38,1.87,Loading...,
επιβλέπω,10,7.38,1.87,Loading...,
επικράτηση,10,7.38,1.87,Loading...,
επίνειο,10,7.38,1.87,Loading...,
επιτελώ,10,7.38,1.87,Loading...,
επιτυχής,10,7.38,1.87,Loading...,
ευνοώ,10,7.38,1.87,Loading...,
ευχολόγιο,10,7.38,1.87,Loading...,
ζαρκάδι,10,7.38,1.87,Loading...,
ζαχαροπλαστική,10,7.38,1.87,Loading...,
ζηλανδία,10,7.38,1.87,Loading...,
ζητωκραυγή,10,7.38,1.87,Loading...,
ηλίας,10,7.38,1.87,Loading...,
θαλασσοπόρος,10,7.38,1.87,Loading...,
θερισμός,10,7.38,1.87,Loading...,
θερμοσίφωνο,10,7.38,1.87,Loading...,
θρήσκευμα,10,7.38,1.87,Loading...,
ιαπωνικός,10,7.38,1.87,Loading...,
ιατρείο,10,7.38,1.87,Loading...,
ιεσσαί,10,7.38,1.87,Loading...,
ικανοποιητικός,10,7.38,1.87,Loading...,
ιππόκαμπος,10,7.38,1.87,морской конек,
ισαάκ,10,7.38,1.87,Loading...,
ισχύς,10,7.38,1.87,Loading...,
ιφικλής,10,7.38,1.87,Loading...,
κάβος,10,7.38,1.87,Loading...,
κακόμοιρος,10,7.38,1.87,Loading...,
κάκτος,10,7.38,1.87,кактус,
καμάρι,10,7.38,1.87,Loading...,
κάνας,10,7.38,1.87,Loading...,
καρπούζι,10,7.38,1.87,Loading...,
καρχηδόνιος,10,7.38,1.87,Loading...,
κάστανο,10,7.38,1.87,Loading...,
κατακλύζω,10,7.38,1.87,Loading...,
καταπίεση,10,7.38,1.87,Loading...,
καταπνίγω,10,7.38,1.87,Loading...,
κατασκηνώνω,10,7.38,1.87,лагерь,
κατώτερος,10,7.38,1.87,Loading...,
κατώφλι,10,7.38,1.87,Loading...,
καφετιέρα,10,7.38,1.87,Loading...,
κένυα,10,7.38,1.87,Loading...,
κερασιά,10,7.38,1.87,Loading...,
κεφαλή,10,7.38,1.87,Loading...,
κεφάτος,10,7.38,1.87,Loading...,
κηδεμόνας,10,7.38,1.87,Loading...,
κιουταχής,10,7.38,1.87,Loading...,
κλονίζω,10,7.38,1.87,Loading...,
κοινόχρηστος,10,7.38,1.87,Loading...,
κομήτης,10,7.38,1.87,Loading...,
κόσκινο,10,7.38,1.87,сито,
κουβέρτα,10,7.38,1.87,Loading...,
κούρος,10,7.38,1.87,Loading...,
κούφιος,10,7.38,1.87,Loading...,
κυριολεξία,10,7.38,1.87,Loading...,
λαμπρότητα,10,7.38,1.87,Loading...,
λασίθι,10,7.38,1.87,Loading...,
λατίνος,10,7.38,1.87,Loading...,
λερώνω,10,7.38,1.87,грязный,
λευκάδα,10,7.38,1.87,Loading...,
λεύκτρα,10,7.38,1.87,Loading...,
ληστεύω,10,7.38,1.87,Loading...,
λιβελούλα,10,7.38,1.87,Loading...,
λιθογραφία,10,7.38,1.87,Loading...,
λίπασμα,10,7.38,1.87,Loading...,
μακρόστενος,10,7.38,1.87,Loading...,
μαντίνεια,10,7.38,1.87,Loading...,
μανώλης,10,7.38,1.87,манолис,
μαξιμιανός,10,7.38,1.87,Loading...,
μάρκετ,10,7.38,1.87,Loading...,
μεγαλοπρέπεια,10,7.38,1.87,Loading...,
μεγάφωνο,10,7.38,1.87,Loading...,
μεσολάβηση,10,7.38,1.87,Loading...,
μετακόμιση,10,7.38,1.87,Loading...,
μεταφραστής,10,7.38,1.87,Loading...,
μέτοικος,10,7.38,1.87,Loading...,
μήλος,10,7.38,1.87,Loading...,
μηνιαίος,10,7.38,1.87,Loading...,
μισθοφόρος,10,7.38,1.87,наёмник,
μονολογώ,10,7.38,1.87,Loading...,
μουγκρίζω,10,7.38,1.87,Loading...,
μουντζούρης,10,7.38,1.87,Loading...,
μουσώνας,10,7.38,1.87,Loading...,
μπάρμπας,10,7.38,1.87,борода,
μπαστούνι,10,7.38,1.87,Loading...,
μπαταριά,10,7.38,1.87,Loading...,
μπολ,10,7.38,1.87,чаша,
μπουκέτο,10,7.38,1.87,Loading...,
νάνος,10,7.38,1.87,Loading...,
νεκροταφείο,10,7.38,1.87,Loading...,
νευριάζω,10,7.38,1.87,нервничать,
νησιώτης,10,7.38,1.87,Loading...,
νομαρχία,10,7.38,1.87,Loading...,
νόμπελ,10,7.38,1.87,Loading...,
νοσταλγία,10,7.38,1.87,Loading...,
νυχτοφύλακας,10,7.38,1.87,Loading...,
ξεπροβάλλω,10,7.38,1.87,Loading...,
ξεψυχώ,10,7.38,1.87,Loading...,
ξυλουργός,10,7.38,1.87,Loading...,
όαση,10,7.38,1.87,Loading...,
όζον,10,7.38,1.87,Loading...,
οικοδομή,10,7.38,1.87,Loading...,
ολιγαρχία,10,7.38,1.87,Loading...,
ορμητήριο,10,7.38,1.87,Loading...,
οροφή,10,7.38,1.87,Loading...,
ότου,10,7.38,1.87,Loading...,
ουγγαρία,10,7.38,1.87,Loading...,
ουρανοξύστης,10,7.38,1.87,Loading...,
ουσιαστικός,10,7.38,1.87,Loading...,
παιδομάζωμα,10,7.38,1.87,Loading...,
παραπόταμος,10,7.38,1.87,Loading...,
παρεμβολή,10,7.38,1.87,Loading...,
πείσμα,10,7.38,1.87,Loading...,
πεταλουδίτσα,10,7.38,1.87,Loading...,
πέτο,10,7.38,1.87,Loading...,
πετρούλα,10,7.38,1.87,Loading...,
πι,10,7.38,1.87,Loading...,
πίθηκος,10,7.38,1.87,Loading...,
πικραίνω,10,7.38,1.87,Loading...,
πινόκιο,10,7.38,1.87,Loading...,
πιπεριά,10,7.38,1.87,Loading...,
πιρούνι,10,7.38,1.87,Loading...,
πληροφόρηση,10,7.38,1.87,Loading...,
ποιήτρια,10,7.38,1.87,Loading...,
πολλαπλασιαστικός,10,7.38,1.87,Loading...,
ποντιακός,10,7.38,1.87,Loading...,
πόρτο,10,7.38,1.87,Loading...,
πρακτικό,10,7.38,1.87,Loading...,
πραμάτεια,10,7.38,1.87,Loading...,
πρασινοσκούφης,10,7.38,1.87,Loading...,
πρεσβευτής,10,7.38,1.87,Loading...,
προεκτείνω,10,7.38,1.87,Loading...,
πρόλογος,10,7.38,1.87,Loading...,
προξενώ,10,7.38,1.87,Loading...,
προσόν,10,7.38,1.87,Loading...,
πρόσοψη,10,7.38,1.87,Loading...,
προσπερνάω,10,7.38,1.87,Я прохожу мимо,
προτεστάντης,10,7.38,1.87,протестантский,
προφταίνω,10,7.38,1.87,Loading...,
πρύμνη,10,7.38,1.87,суровый,
πρώην,10,7.38,1.87,Loading...,
πρωτοβάθμιος,10,7.38,1.87,начальный,
πρωτοεμφανίζω,10,7.38,1.87,Loading...,
ραβένα,10,7.38,1.87,Loading...,
ρεματιά,10,7.38,1.87,Loading...,
ρηχός,10,7.38,1.87,Loading...,
ρυζόχαρτο,10,7.38,1.87,рисовая бумага,
ρωσική,10,7.38,1.87,Loading...,
σακίδιο,10,7.38,1.87,рюкзак,
σατιρικός,10,7.38,1.87,Loading...,
σγουρός,10,7.38,1.87,Loading...,
σι,10,7.38,1.87,Loading...,
σίφνος,10,7.38,1.87,Loading...,
σκαθάρι,10,7.38,1.87,Loading...,
σκαλιστός,10,7.38,1.87,Loading...,
σκήπτρο,10,7.38,1.87,Loading...,
σουρωτήρι,10,7.38,1.87,Loading...,
σταθερότητα,10,7.38,1.87,Loading...,
στοιχειώδης,10,7.38,1.87,Loading...,
συγκαλώ,10,7.38,1.87,Loading...,
συγκλονιστικός,10,7.38,1.87,Loading...,
συγκομιδή,10,7.38,1.87,урожай,
συμπαραστέκομαι,10,7.38,1.87,Я сочувствую.,
συναγωνίζομαι,10,7.38,1.87,соревноваться,
συναγωνισμός,10,7.38,1.87,Loading...,
συνεισφέρω,10,7.38,1.87,Loading...,
συνήθης,10,7.38,1.87,Loading...,
συνταγματικός,10,7.38,1.87,Loading...,
συστολή,10,7.38,1.87,Loading...,
συσχετίζω,10,7.38,1.87,Loading...,
σφαιροβολία,10,7.38,1.87,Loading...,
σχεδία,10,7.38,1.87,Loading...,
τάσος,10,7.38,1.87,напряжение,
τερματισμός,10,7.38,1.87,Loading...,
τριγυρνώ,10,7.38,1.87,Loading...,
τριμερής,10,7.38,1.87,Loading...,
τροποποιώ,10,7.38,1.87,Loading...,
τσακάλι,10,7.38,1.87,Loading...,
τσακωμός,10,7.38,1.87,Loading...,
τσουβάλι,10,7.38,1.87,Loading...,
υγροποίηση,10,7.38,1.87,Loading...,
υδατάνθρακας,10,7.38,1.87,Loading...,
υδάτινος,10,7.38,1.87,Loading...,
υμνογράφος,10,7.38,1.87,Loading...,
υπενθυμίζω,10,7.38,1.87,Loading...,
υποδεικνύω,10,7.38,1.87,Loading...,
υποδομή,10,7.38,1.87,Loading...,
υποθαλάσσιος,10,7.38,1.87,Loading...,
υφαντής,10,7.38,1.87,Loading...,
φάλαγγα,10,7.38,1.87,Loading...,
φαρδύς,10,7.38,1.87,Loading...,
φειδίας,10,7.38,1.87,Loading...,
φελιζόλ,10,7.38,1.87,Loading...,
φθόνος,10,7.38,1.87,Loading...,
φοξ,10,7.38,1.87,лиса,
φουρτουνιάζω,10,7.38,1.87,Loading...,
φρικαντέλα,10,7.38,1.87,Loading...,
φτέρη,10,7.38,1.87,Loading...,
φτέρνα,10,7.38,1.87,Loading...,
χάδι,10,7.38,1.87,Loading...,
χαντάκι,10,7.38,1.87,Loading...,
χαράδρα,10,7.38,1.87,ущелье,
χειρονομία,10,7.38,1.87,Loading...,
χέλι,10,7.38,1.87,Loading...,
χερούλι,10,7.38,1.87,Loading...,
χερσαίος,10,7.38,1.87,Loading...,
χιλίαρχος,10,7.38,1.87,командир,
χρήστης,10,7.38,1.87,Loading...,
χριστίνα,10,7.38,1.87,Loading...,
χριστόψωμο,10,7.38,1.87,Loading...,
ψηλαφίζω,10,7.38,1.87,Loading...,
ψιθυριστής,10,7.38,1.87,Loading...,
ψιχάλα,10,7.38,1.87,Loading...,
ωράριο,10,7.38,1.87,Loading...,
αγάθωνας,9,6.64,1.82,Loading...,
αγιογράφος,9,6.64,1.82,Loading...,
άγουρος,9,6.64,1.82,Loading...,
άγραφα,9,6.64,1.82,Loading...,
αδένας,9,6.64,1.82,Loading...,
αδέξιος,9,6.64,1.82,Loading...,
αδέσποτος,9,6.64,1.82,Loading...,
αδιέξοδος,9,6.64,1.82,Loading...,
αεροπορία,9,6.64,1.82,Loading...,
αθώα,9,6.64,1.82,Loading...,
αίμος,9,6.64,1.82,Loading...,
αιφνιδιάζω,9,6.64,1.82,Loading...,
ακατανόητος,9,6.64,1.82,Loading...,
ακορντεόν,9,6.64,1.82,аккордеон,
αλαζονεία,9,6.64,1.82,Loading...,
αλβανικός,9,6.64,1.82,Loading...,
αλλόκοτος,9,6.64,1.82,Loading...,
αλλόφωνο,9,6.64,1.82,Loading...,
αλύτρωτος,9,6.64,1.82,Loading...,
αμβροσία,9,6.64,1.82,Loading...,
αμμωνία,9,6.64,1.82,Loading...,
αμοιβαία,9,6.64,1.82,Loading...,
αμφικτιονία,9,6.64,1.82,Loading...,
άμφιο,9,6.64,1.82,Loading...,
αμφορέας,9,6.64,1.82,Loading...,
αναιρώ,9,6.64,1.82,Loading...,
ανάκτηση,9,6.64,1.82,Loading...,
ανάπαυση,9,6.64,1.82,Loading...,
αναπόσπαστος,9,6.64,1.82,Loading...,
αναρίθμητος,9,6.64,1.82,Loading...,
ανασαίνω,9,6.64,1.82,Я дышу,
ανατρέχω,9,6.64,1.82,Loading...,
ανέγερση,9,6.64,1.82,Loading...,
άνεργος,9,6.64,1.82,Loading...,
άνετος,9,6.64,1.82,Loading...,
άνισος,9,6.64,1.82,Loading...,
ανοησία,9,6.64,1.82,Loading...,
αντίδωρο,9,6.64,1.82,Loading...,
αντικατάσταση,9,6.64,1.82,Loading...,
αντίκρυ,9,6.64,1.82,Loading...,
αντιπολεμικός,9,6.64,1.82,антивоенный,
αντίσκηνο,9,6.64,1.82,Loading...,
αντιστοιχία,9,6.64,1.82,Loading...,
άντληση,9,6.64,1.82,Loading...,
ανυπολόγιστος,9,6.64,1.82,Loading...,
ανυπόφορος,9,6.64,1.82,Loading...,
άξαφνος,9,6.64,1.82,Loading...,
άοπλος,9,6.64,1.82,Loading...,
απαλοιφή,9,6.64,1.82,Loading...,
απογείωση,9,6.64,1.82,Loading...,
αποδεκτός,9,6.64,1.82,приемлемый,
απόκομμα,9,6.64,1.82,Loading...,
άπορος,9,6.64,1.82,нищие,
αποσπώ,9,6.64,1.82,Loading...,
απόσταξη,9,6.64,1.82,Loading...,
αποστολέας,9,6.64,1.82,Loading...,
αποταμιεύω,9,6.64,1.82,Loading...,
αρθρόποδα,9,6.64,1.82,Loading...,
αρμόδια,9,6.64,1.82,Loading...,
άρση,9,6.64,1.82,Loading...,
άρτιος,9,6.64,1.82,Loading...,
αρχόντισσα,9,6.64,1.82,Loading...,
ασβέστης,9,6.64,1.82,Loading...,
ασθενοφόρο,9,6.64,1.82,Loading...,
άτακτος,9,6.64,1.82,Loading...,
αυριανός,9,6.64,1.82,Loading...,
αχνός,9,6.64,1.82,Loading...,
αψηφώ,9,6.64,1.82,Loading...,
βακτήριο,9,6.64,1.82,бактерия,
βάμμα,9,6.64,1.82,Loading...,
βασιλεύουσα,9,6.64,1.82,Loading...,
βατήρας,9,6.64,1.82,Loading...,
βένετος,9,6.64,1.82,Loading...,
βλαχιά,9,6.64,1.82,Loading...,
βουλευτικός,9,6.64,1.82,Loading...,
βραδιάζομαι,9,6.64,1.82,Loading...,
γενεαλογικός,9,6.64,1.82,Loading...,
γευστικός,9,6.64,1.82,Loading...,
γιομάτος,9,6.64,1.82,Loading...,
γιρλάντα,9,6.64,1.82,Loading...,
γλύκα,9,6.64,1.82,Loading...,
γονατίζω,9,6.64,1.82,преклонить колени,
γουργουρίζω,9,6.64,1.82,Loading...,
γραφίδα,9,6.64,1.82,Loading...,
γυναικόπαιδα,9,6.64,1.82,Loading...,
δεινά,9,6.64,1.82,Loading...,
δεκαεφτά,9,6.64,1.82,Loading...,
δέομαι,9,6.64,1.82,Loading...,
δέσμη,9,6.64,1.82,Loading...,
δευτερογενής,9,6.64,1.82,Loading...,
δημαρχείο,9,6.64,1.82,Loading...,
δημόκριτος,9,6.64,1.82,Loading...,
διαβατήριο,9,6.64,1.82,Loading...,
δίαιτα,9,6.64,1.82,Loading...,
διακηρύσσω,9,6.64,1.82,Loading...,
διαρρέω,9,6.64,1.82,Loading...,
διαρροή,9,6.64,1.82,Loading...,
διαφεύγω,9,6.64,1.82,побег,
διαφημιστής,9,6.64,1.82,Loading...,
διαχειριστής,9,6.64,1.82,Loading...,
διδάσκαλος,9,6.64,1.82,Loading...,
διένεξη,9,6.64,1.82,Loading...,
διεξαγωγή,9,6.64,1.82,Loading...,
δικαιούμαι,9,6.64,1.82,Loading...,
διοκλητιανός,9,6.64,1.82,Диоклетиан,
διπλωματία,9,6.64,1.82,Loading...,
δίψα,9,6.64,1.82,Loading...,
δυάδα,9,6.64,1.82,Loading...,
εγκάρδια,9,6.64,1.82,Loading...,
εδαφικός,9,6.64,1.82,территориальный,
είλωτας,9,6.64,1.82,Loading...,
ειρωνικός,9,6.64,1.82,Loading...,
εισόδημα,9,6.64,1.82,Loading...,
εκνευρίζω,9,6.64,1.82,Loading...,
εκφώνηση,9,6.64,1.82,Loading...,
εκφωνώ,9,6.64,1.82,Loading...,
εκχριστιανισμός,9,6.64,1.82,христианство,
ελαστικός,9,6.64,1.82,Loading...,
ελευθεροτυπία,9,6.64,1.82,Loading...,
ελληνοϊταλικός,9,6.64,1.82,греко-итальянский,
έμβλημα,9,6.64,1.82,эмблема,
εναέριος,9,6.64,1.82,Loading...,
εναλλάσσω,9,6.64,1.82,Loading...,
ενοίκιο,9,6.64,1.82,Loading...,
εξαπλώνω,9,6.64,1.82,Loading...,
εξαπτέρυγο,9,6.64,1.82,Loading...,
εξοικονόμηση,9,6.64,1.82,Loading...,
εξομολόγηση,9,6.64,1.82,Loading...,
εξοπλίζω,9,6.64,1.82,Loading...,
εξοφλώ,9,6.64,1.82,Loading...,
επένδυση,9,6.64,1.82,Loading...,
επιβίωση,9,6.64,1.82,Loading...,
επίδειξη,9,6.64,1.82,Loading...,
επικαιρότητα,9,6.64,1.82,Loading...,
επιπλέω,9,6.64,1.82,Loading...,
επιστάτης,9,6.64,1.82,Loading...,
επίτροπος,9,6.64,1.82,Loading...,
επιφανειακός,9,6.64,1.82,Loading...,
επιφέρω,9,6.64,1.82,Loading...,
ερημικός,9,6.64,1.82,Loading...,
ερυθρόμορφος,9,6.64,1.82,Loading...,
ερωτεύομαι,9,6.64,1.82,Loading...,
ερωτόκριτος,9,6.64,1.82,Loading...,
ες,9,6.64,1.82,Loading...,
ευδοκία,9,6.64,1.82,Loading...,
ευημερία,9,6.64,1.82,Loading...,
ζαχαρίας,9,6.64,1.82,Захария,
ζεύγος,9,6.64,1.82,пара,
ηλιοβασίλεμα,9,6.64,1.82,Loading...,
ημικύκλιο,9,6.64,1.82,Loading...,
ηχοϊστορία,9,6.64,1.82,Loading...,
θαλασσοταραχή,9,6.64,1.82,Loading...,
θανάσιμος,9,6.64,1.82,Loading...,
θανατηφόρος,9,6.64,1.82,Loading...,
θάσος,9,6.64,1.82,Loading...,
θεογονία,9,6.64,1.82,Loading...,
θεοφάνης,9,6.64,1.82,Loading...,
θερμοηλεκτρικός,9,6.64,1.82,Loading...,
θηλάζω,9,6.64,1.82,Loading...,
θητεία,9,6.64,1.82,услуга,
θώρακας,9,6.64,1.82,Loading...,
ιγνάτιος,9,6.64,1.82,Loading...,
ιδεολογικός,9,6.64,1.82,Loading...,
ινώ,9,6.64,1.82,Loading...,
ίσιος,9,6.64,1.82,Loading...,
ισμήνη,9,6.64,1.82,Loading...,
καλλιεργητής,9,6.64,1.82,Loading...,
καλόγερος,9,6.64,1.82,Loading...,
κανσόν,9,6.64,1.82,Loading...,
καρπενήσι,9,6.64,1.82,Loading...,
κατανόηση,9,6.64,1.82,Loading...,
καταριέμαι,9,6.64,1.82,Loading...,
καταστηματάρχης,9,6.64,1.82,Loading...,
κατάστρωμα,9,6.64,1.82,Loading...,
κατάψυξη,9,6.64,1.82,Loading...,
κισσός,9,6.64,1.82,Loading...,
κλαρί,9,6.64,1.82,Loading...,
κλέφτικος,9,6.64,1.82,Loading...,
κλήμα,9,6.64,1.82,Loading...,
κλήση,9,6.64,1.82,Loading...,
κλικ,9,6.64,1.82,Loading...,
κοκκινωπός,9,6.64,1.82,румяный,
κόλαση,9,6.64,1.82,Loading...,
κολλητικός,9,6.64,1.82,липкий,
κόμπος,9,6.64,1.82,Loading...,
κοπιαστικός,9,6.64,1.82,Loading...,
κοπριά,9,6.64,1.82,навоз,
κούκος,9,6.64,1.82,Loading...,
κουμπάρα,9,6.64,1.82,Loading...,
κουρέλι,9,6.64,1.82,Loading...,
κύκνος,9,6.64,1.82,Loading...,
κωδικός,9,6.64,1.82,Loading...,
λάβαρο,9,6.64,1.82,Loading...,
λάπωνας,9,6.64,1.82,Loading...,
λαχανιάζω,9,6.64,1.82,штаны,
λεβεντιά,9,6.64,1.82,Loading...,
λιβύη,9,6.64,1.82,Loading...,
λιθάρι,9,6.64,1.82,Loading...,
λικίνιος,9,6.64,1.82,Loading...,
λίμα,9,6.64,1.82,Loading...,
λιμνούλα,9,6.64,1.82,Loading...,
λογισμικό,9,6.64,1.82,Loading...,
λοίμωξη,9,6.64,1.82,Loading...,
λουρί,9,6.64,1.82,Loading...,
λυκούργος,9,6.64,1.82,Loading...,
λύσανδρος,9,6.64,1.82,Loading...,
λύσσανδρος,9,6.64,1.82,Loading...,
λυτρώνω,9,6.64,1.82,Loading...,
μαγνητόφωνο,9,6.64,1.82,магнитофон,
μαθηματική,9,6.64,1.82,Loading...,
μαϊντανός,9,6.64,1.82,Loading...,
μακιγιάζ,9,6.64,1.82,Loading...,
μαντήλι,9,6.64,1.82,Loading...,
μάξιμος,9,6.64,1.82,Loading...,
ματθαίος,9,6.64,1.82,Loading...,
μεγαλέξανδρος,9,6.64,1.82,Loading...,
μέδουσα,9,6.64,1.82,Loading...,
μεζούρα,9,6.64,1.82,Loading...,
μελάνι,9,6.64,1.82,Loading...,
μεριά,9,6.64,1.82,Loading...,
μεταλαμβάνω,9,6.64,1.82,Loading...,
μίκης,9,6.64,1.82,Loading...,
μικρόσωμος,9,6.64,1.82,Loading...,
